20191226-104501 ; RECEIVED ; 556641881 ; SENT ; 1609917955
20191226-171501 ; RECEIVED ; 3637551212 ; SENT ; 2035380127
20191226-172001 ; RECEIVED ; 3801954144 ; SENT ; 2040420671
20191226-172501 ; RECEIVED ; 3975705712 ; SENT ; 2048532403
20191226-173001 ; RECEIVED ; 4080653823 ; SENT ; 2053727000
20191226-173501 ; RECEIVED ; 4153692664 ; SENT ; 2057684260
20191226-174001 ; RECEIVED ; 4193365359 ; SENT ; 2059833622
20191226-174501 ; RECEIVED ; 4200591790 ; SENT ; 2060474491
20191226-175001 ; RECEIVED ; 4200820176 ; SENT ; 2060725157
20191226-175501 ; RECEIVED ; 4201274194 ; SENT ; 2060969105
20191226-180001 ; RECEIVED ; 4202311451 ; SENT ; 2061254900
20191226-180501 ; RECEIVED ; 4202584816 ; SENT ; 2061492880
20191226-181002 ; RECEIVED ; 4206815500 ; SENT ; 2061979130
20191226-181501 ; RECEIVED ; 1277333991 ; SENT ; 2084772860
20191226-182001 ; RECEIVED ; 1657325555 ; SENT ; 2087968740
20191226-182501 ; RECEIVED ; 1657935990 ; SENT ; 2088223588
20191226-183001 ; RECEIVED ; 1658491138 ; SENT ; 2088511698
20191226-183502 ; RECEIVED ; 1665940012 ; SENT ; 2089080601
20191226-184001 ; RECEIVED ; 1666414426 ; SENT ; 2089323152
20191226-184501 ; RECEIVED ; 1666692410 ; SENT ; 2089626148
20191226-185001 ; RECEIVED ; 1667286585 ; SENT ; 2089859186
20191226-185501 ; RECEIVED ; 1667442081 ; SENT ; 2090058189
20191226-190001 ; RECEIVED ; 1670865433 ; SENT ; 2091438022
20191226-190501 ; RECEIVED ; 1675122373 ; SENT ; 2093236572
20191226-191001 ; RECEIVED ; 1675778363 ; SENT ; 2093509834
20191226-191501 ; RECEIVED ; 1677904045 ; SENT ; 2098898286
20191226-192001 ; RECEIVED ; 1680258523 ; SENT ; 2113199892
20191226-192501 ; RECEIVED ; 1682266374 ; SENT ; 2121596556
20191226-193001 ; RECEIVED ; 1696404271 ; SENT ; 2134944728
20191226-193501 ; RECEIVED ; 1696839617 ; SENT ; 2136071466
20191226-194002 ; RECEIVED ; 1697538498 ; SENT ; 2136443691
20191226-194501 ; RECEIVED ; 1698015921 ; SENT ; 2136697449
20191226-195001 ; RECEIVED ; 1699010389 ; SENT ; 2136950980
20191226-195501 ; RECEIVED ; 1699226158 ; SENT ; 2137173856
20191226-200001 ; RECEIVED ; 1699593959 ; SENT ; 2137412387
20191226-200501 ; RECEIVED ; 1701415665 ; SENT ; 2139471149
20191226-201001 ; RECEIVED ; 1703486050 ; SENT ; 2142631594
20191226-201501 ; RECEIVED ; 1704636505 ; SENT ; 2149151448
20191226-202001 ; RECEIVED ; 1709214163 ; SENT ; 2149821441
20191226-202501 ; RECEIVED ; 1709652776 ; SENT ; 2150191466
20191226-203001 ; RECEIVED ; 1715925729 ; SENT ; 2159287925
20191226-203501 ; RECEIVED ; 1810700944 ; SENT ; 2176737544
20191226-204002 ; RECEIVED ; 1950145507 ; SENT ; 2179641728
20191226-204501 ; RECEIVED ; 2077785664 ; SENT ; 2182809697
20191226-205001 ; RECEIVED ; 2214846046 ; SENT ; 2186341842
20191226-205501 ; RECEIVED ; 2277394663 ; SENT ; 2187933252
20191226-210001 ; RECEIVED ; 2362607058 ; SENT ; 2190292904
20191226-210501 ; RECEIVED ; 2473126265 ; SENT ; 2193918554
20191226-211001 ; RECEIVED ; 2481803697 ; SENT ; 2195485887
20191226-211501 ; RECEIVED ; 2482500211 ; SENT ; 2195755533
20191226-212001 ; RECEIVED ; 2482796441 ; SENT ; 2196013953
20191226-212501 ; RECEIVED ; 2483618540 ; SENT ; 2196317448
20191226-213001 ; RECEIVED ; 2484048937 ; SENT ; 2197041821
20191226-213501 ; RECEIVED ; 2484893943 ; SENT ; 2197355575
20191226-214001 ; RECEIVED ; 2485662204 ; SENT ; 2197814525
20191226-214501 ; RECEIVED ; 2485875957 ; SENT ; 2198130879
20191226-215001 ; RECEIVED ; 2486074872 ; SENT ; 2198338519
20191226-215501 ; RECEIVED ; 2487428612 ; SENT ; 2198801357
20191226-220001 ; RECEIVED ; 2487864622 ; SENT ; 2199187076
20191226-220501 ; RECEIVED ; 2506146281 ; SENT ; 2200498966
20191226-221002 ; RECEIVED ; 2506908853 ; SENT ; 2200862291
20191226-221501 ; RECEIVED ; 2507739703 ; SENT ; 2201287679
20191226-222001 ; RECEIVED ; 2509361875 ; SENT ; 2201628737
20191226-222501 ; RECEIVED ; 2510000434 ; SENT ; 2201962276
20191226-223001 ; RECEIVED ; 2510529365 ; SENT ; 2202213816
20191226-223502 ; RECEIVED ; 2512215263 ; SENT ; 2202745762
20191226-224001 ; RECEIVED ; 2512416677 ; SENT ; 2202995812
20191226-224501 ; RECEIVED ; 2512721435 ; SENT ; 2203279203
20191226-225001 ; RECEIVED ; 2513698546 ; SENT ; 2203706997
20191226-225501 ; RECEIVED ; 2513976633 ; SENT ; 2203948446
20191226-230001 ; RECEIVED ; 2514425704 ; SENT ; 2204232770
20191226-230502 ; RECEIVED ; 2514633396 ; SENT ; 2204476648
20191226-231001 ; RECEIVED ; 2515137880 ; SENT ; 2204730010
20191226-231501 ; RECEIVED ; 2515949405 ; SENT ; 2205064042
20191226-232001 ; RECEIVED ; 2533946829 ; SENT ; 2206586572
20191226-232501 ; RECEIVED ; 2551500867 ; SENT ; 2207803416
20191226-233001 ; RECEIVED ; 2564541804 ; SENT ; 2208977682
20191226-233501 ; RECEIVED ; 2586113912 ; SENT ; 2211860051
20191226-234001 ; RECEIVED ; 2605174710 ; SENT ; 2213696500
